## Created on Tue Aug 29 17:11:22 2017

## There are two types of impartial referees and two types of selfish referees, plus narcissistic referees. 
## Impartial referees can have moving or fixed standards, and selfish referees can be conscientious or indifferent. 
## Indifferent selfish referees accept manuscripts as low as 90, while conscientious selfish referees reject anything below 114.3 (same as fixed-std impartial refs).
## The fifth type of referee is the narcissist, who rejects papers very different from their own.
## **fc, fr, ff, fd, fn are the proportion of moving-standard, indifferent, fixed-standard, conscientious, and narcissistic referees in the pool, respectively.
## **scen: referee scenario. The four combinations of an impartial and a selfish referee are 
## moving-std x indifferent (cora); 
## fixed-std x indifferent (fara); 
## moving-std x conscientious (code); 
## fixed-std x conscientious (fade).
## **method: the action taken by the editor to mitigate the effect of selfish referees. 
## One of none, revision, tiebreaking, overrule, matching.quality, blacklist (p = 50, 90, 100)
## **Q.accept.avg: average quality of published papers.
## **Rejected: percentage of total manuscript that get rejected.
## **GRP: good rejected papers: percentage of rejected papers above average quality of submitted manuscripts (100).
## **Gini: coeff of the inequality in the reviewing load of different referees.
## **num.refs = number of referees per review event
## **dbn: distribution of average quality among authors (normal or lognormal); also, distribution of quality among papers of the same author

fc fr ff fd fn scen method run Q.accept.avg Rejected GRP Gini num.refs dbn
0.9 0.1 0 0 0 cora none 6 114.53038013541 87.2743142144638 45.5250450038575 NA 2 normal
0.999 0.001 0 0 0 cora none 2 128.273057219364 93.0344139650873 48.2019363762102 NA 2 normal
0.7 0.3 0 0 0 cora none 9 108.649660843134 74.8029925187032 42.5803440458728 NA 2 normal
0.7 0.3 0 0 0 cora none 6 108.984317467538 75.4059850374065 41.3422934208177 NA 2 normal
0.8 0.2 0 0 0 cora none 6 110.496970908931 79.1810473815461 40.4924476246866 NA 2 normal
0.999 0.001 0 0 0 cora none 8 123.959165723584 95.1311720698254 46.0993614277176 NA 2 normal
0.6 0.4 0 0 0 cora none 7 106.669403133904 71.1765586034913 38.8342711391713 NA 2 normal
0.999 0.001 0 0 0 cora none 6 124.299917333339 94.5062344139651 48.4339129746418 NA 2 normal
0.999 0.001 0 0 0 cora none 4 126.960651579669 96.8174563591022 47.9880897799803 NA 2 normal
0.9 0.1 0 0 0 cora none 10 114.055862504582 87.1800498753117 44.6337444792787 NA 2 normal
0.6 0.4 0 0 0 cora none 2 107.410323827542 71.7416458852868 42.9651979255016 NA 2 normal
0.9 0.1 0 0 0 cora none 2 114.118532281165 87.5087281795511 45.2503490923599 NA 2 normal
0.9 0.1 0 0 0 cora none 9 113.63991128925 87.0947630922693 44.5755189692198 NA 2 normal
0.999 0.001 0 0 0 cora none 5 125.265213121833 93.6354114713217 50.0455419491954 NA 2 normal
0.9 0.1 0 0 0 cora none 4 113.141742975839 86.6977556109726 43.9149969222627 NA 2 normal
0.7 0.3 0 0 0 cora none 10 108.813290007189 75.1576059850374 42.1783649985732 NA 2 normal
0.8 0.2 0 0 0 cora none 7 110.800615483669 78.8827930174564 44.5706879109762 NA 2 normal
0.999 0.001 0 0 0 cora none 9 125.432069108233 96.286783042394 48.3996788479967 NA 2 normal
0.999 0.001 0 0 0 cora none 1 123.755120664121 95.0932668329177 50.1452832761641 NA 2 normal
0.6 0.4 0 0 0 cora none 3 107.312018481707 70.8329177057357 43.1270243627658 NA 2 normal
0.7 0.3 0 0 0 cora none 1 109.283153544175 77.3581047381546 41.6052558622335 NA 2 normal
0.7 0.3 0 0 0 cora none 8 108.695202289946 74.4239401496259 41.9414287629004 NA 2 normal
0.8 0.2 0 0 0 cora none 1 111.390818803743 81.6189526184539 44.7135890886426 NA 2 normal
0.8 0.2 0 0 0 cora none 5 110.020709155862 79.8254364089776 41.0909090909091 NA 2 normal
0.6 0.4 0 0 0 cora none 9 106.729584256646 70.6199501246883 39.8501338342997 NA 2 normal
0.999 0.001 0 0 0 cora none 7 137.040025773766 96.8279301745636 47.8613371793551 NA 2 normal
0.9 0.1 0 0 0 cora none 1 113.716377651553 87.185536159601 43.8168952044254 NA 2 normal
0.6 0.4 0 0 0 cora none 1 106.851507002163 69.2443890274314 43.2542226383837 NA 2 normal
0.999 0.001 0 0 0 cora none 3 143.04365941958 95.8812967581047 48.1101944424215 NA 2 normal
0.6 0.4 0 0 0 cora none 10 106.927668639488 69.5256857855362 43.7858234277147 NA 2 normal
0.6 0.4 0 0 0 cora none 5 106.68373780827 71.0229426433915 41.3136143706856 NA 2 normal
0.8 0.2 0 0 0 cora none 10 110.674305640453 80.171072319202 43.8140385584442 NA 2 normal
0.8 0.2 0 0 0 cora none 3 111.133956952245 79.857855361596 42.6986853199263 NA 2 normal
0.9 0.1 0 0 0 cora none 3 113.643899530304 86.4319201995012 44.5168959468193 NA 2 normal
0.7 0.3 0 0 0 cora none 5 108.602187099465 75.8468827930175 40.4818738369073 NA 2 normal
0.9 0.1 0 0 0 cora none 5 113.205794584169 86.4568578553616 44.5548209938504 NA 2 normal
0.6 0.4 0 0 0 cora none 8 107.026108191601 70.8009975062344 40.6125841810138 NA 2 normal
0.7 0.3 0 0 0 cora none 4 109.074049806181 74.7266832917706 42.1546183264699 NA 2 normal
0.9 0.1 0 0 0 cora none 7 114.414558161977 87.0758104738155 45.9415649504259 NA 2 normal
0.999 0.001 0 0 0 cora none 10 126.992741572413 93.8364089775561 47.53696675915 NA 2 normal
0.8 0.2 0 0 0 cora none 9 110.651727327203 79.8892768079801 43.1626066001573 NA 2 normal
0.8 0.2 0 0 0 cora none 4 110.507502435684 80.1521197007481 42.0391400392023 NA 2 normal
0.6 0.4 0 0 0 cora none 4 106.488671133674 70.5391521197007 41.0970720704796 NA 2 normal
0.7 0.3 0 0 0 cora none 7 108.350221281476 75.1127182044888 41.2666582559213 NA 2 normal
0.9 0.1 0 0 0 cora none 8 114.657238286105 87.8209476309227 46.9306739511929 NA 2 normal
0.7 0.3 0 0 0 cora none 3 107.912094110954 74.3551122194514 39.4474181993802 NA 2 normal
0.7 0.3 0 0 0 cora none 2 108.827419207367 74.7645885286783 42.4314389972182 NA 2 normal
